Date,Close,High,Low,Open
12-31-2006,155.20,156.42,155.16,156.35
11-30-2006,156.02,156.02,153.69,154.63
10-31-2006,154.30,154.30,152.48,153.44
9-30-2006,153.27,153.70,151.82,152.10
8-31-2006,152.00,152.00,149.82,149.82
7-31-2006,149.75,149.75,147.20,147.70
6-30-2006,147.69,148.61,146.77,147.52
5-31-2006,147.43,147.91,146.93,147.21
4-30-2006,147.62,148.08,146.99,147.71
3-31-2006,147.82,148.95,147.75,148.90
2-28-2006,149.15,149.15,148.22,148.42
1-31-2006,148.67,149.61,148.62,148.90
12-31-2005,148.58,148.88,146.90,147.05
11-30-2005,147.25,147.90,145.88,146.49
10-31-2005,146.65,147.75,146.46,147.46
9-30-2005,147.77,149.40,147.77,149.40
8-31-2005,149.22,149.22,146.63,147.19
7-31-2005,147.40,148.24,147.27,148.16
6-30-2005,148.67,148.82,147.48,148.53
5-31-2005,147.92,147.92,146.06,146.50
4-30-2005,146.40,146.57,144.59,144.80
3-31-2005,144.50,145.71,143.64,145.14
2-28-2005,145.22,146.98,145.22,146.05
1-31-2005,146.06,146.06,144.84,145.27
12-31-2004,145.27,145.65,143.76,143.95
11-30-2004,144.00,145.00,144.00,144.78
10-31-2004,145.11,145.18,143.38,143.57
9-30-2004,143.91,144.56,142.69,143.64
8-31-2004,143.60,143.60,141.11,141.11
7-31-2004,141.01,141.39,140.05,140.05
6-30-2004,139.62,139.62,137.54,138.55
5-31-2004,138.80,139.36,137.32,139.36
4-30-2004,139.39,142.55,139.15,142.55
3-31-2004,142.86,143.36,141.49,141.84
2-29-2004,141.83,141.83,140.24,140.38
1-31-2004,140.42,141.21,138.83,138.83
12-31-2003,139.40,139.68,137.48,137.64
11-30-2003,138.00,138.82,136.75,137.37
10-31-2003,137.67,138.91,136.55,138.91
9-30-2003,138.89,138.89,134.52,135.48
8-31-2003,135.49,136.00,134.39,134.50
7-31-2003,134.61,139.05,134.61,139.01
6-30-2003,139.10,140.67,138.96,139.04
5-31-2003,139.31,139.47,136.77,137.08
4-30-2003,137.04,137.04,135.27,136.01
3-31-2003,135.99,136.67,134.42,136.30
2-28-2003,136.11,136.11,134.23,134.34
1-31-2003,134.31,134.53,133.07,133.27
12-31-2002,134.26,134.51,131.50,131.68
11-30-2002,131.62,132.58,131.23,131.52
10-31-2002,131.74,131.89,129.65,131.71
9-30-2002,132.06,132.06,130.05,130.05
8-31-2002,130.01,130.04,128.07,128.22
7-31-2002,127.83,128.05,125.96,126.19
6-30-2002,126.04,126.56,124.90,125.03
5-31-2002,124.95,125.03,123.19,124.06
4-30-2002,123.90,123.98,121.46,121.46
3-31-2002,121.53,123.14,121.18,123.14
2-28-2002,123.64,123.78,122.60,122.69
1-31-2002,122.41,123.03,120.89,120.89
12-31-2001,121.48,122.65,119.86,122.49
11-30-2001,122.29,124.37,121.00,124.12
10-31-2001,123.99,123.99,121.50,121.72
9-30-2001,121.61,121.61,118.95,119.79
8-31-2001,119.74,119.91,117.88,118.27
7-31-2001,118.53,118.53,115.92,116.21
6-30-2001,115.89,117.17,115.63,115.63
5-31-2001,115.56,116.02,114.56,115.12
4-30-2001,114.94,115.89,114.38,115.34
3-31-2001,115.50,116.19,114.61,115.06
2-28-2001,114.90,114.90,113.28,114.28
1-31-2001,113.93,113.93,112.62,113.33
12-31-2000,112.41,112.66,110.05,110.05
11-30-2000,110.31,110.31,108.14,108.59
10-31-2000,108.42,109.04,107.26,107.51
9-30-2000,107.60,107.60,106.73,107.15
8-31-2000,106.88,106.88,105.48,105.48
7-31-2000,105.29,105.37,104.29,104.65
6-30-2000,104.41,104.41,102.78,102.78
5-31-2000,102.27,102.27,100.57,102.21
4-30-2000,102.30,103.60,102.20,102.74
3-31-2000,102.54,102.54,101.06,101.07
2-29-2000,101.02,101.14,99.68,99.86
1-31-2000,99.63,99.88,99.04,99.39
12-31-1999,100.00,100.00,100.00,100.00
